id,controller,handler,method,path
"EP-001","AuditLogController","getLogs","GET","/admin/audit-logs"
"EP-002","CompanyController","getById","GET","/admin/company/{id:\\d+}"
"EP-003","CompanyController","toggleActivo","PATCH","/admin/company/{id}/toggle-active"
"EP-004","CompanyController","updateCompany","PUT","/admin/company/{id}"
"EP-005","CompanyController","listar","GET","/admin/company/list"
"EP-006","CompanyController","getCompany","GET","/admin/company"
"EP-007","CompanyController","saveCompany","POST","/admin/company"
"EP-008","CompanyController","updateCompanyLegacy","PUT","/admin/company"
"EP-009","TipoEmpleadoController","cambiarEstado","PATCH","/admin/employee-types/{id}/status"
"EP-010","TipoEmpleadoController","delete","DELETE","/admin/employee-types/{id}"
"EP-011","TipoEmpleadoController","update","PUT","/admin/employee-types/{id}"
"EP-012","TipoEmpleadoController","getAll","GET","/admin/employee-types"
"EP-013","TipoEmpleadoController","create","POST","/admin/employee-types"
"EP-014","EmpleadoController","cloneDaySchedule","POST","/admin/employees/{id}/clone-day"
"EP-015","EmpleadoController","cloneWeekSchedule","POST","/admin/employees/{id}/clone-week"
"EP-016","EmpleadoController","deleteBulkSchedule","DELETE","/admin/employees/{id}/schedule-bulk"
"EP-017","EmpleadoController","assignBulkSchedule","POST","/admin/employees/{id}/schedule-bulk"
"EP-018","EmpleadoController","getHorario","GET","/admin/employees/{id}/schedule"
"EP-019","EmpleadoController","cambiarEstado","PATCH","/admin/employees/{id}/status"
"EP-020","EmpleadoController","eliminar","DELETE","/admin/employees/{id}"
"EP-021","EmpleadoController","findById","GET","/admin/employees/{id}"
"EP-022","EmpleadoController","updateEmpleado","PUT","/admin/employees/{id}"
"EP-023","EmpleadoController","deleteHorario","DELETE","/admin/employees/schedule/{scheduleId}"
"EP-024","EmpleadoController","updateHorario","PUT","/admin/employees/schedule/{scheduleId}"
"EP-025","EmpleadoController","getSchedulesReport","GET","/admin/employees/schedules-report"
"EP-026","EmpleadoController","listar","GET","/admin/employees"
"EP-027","EmpleadoController","registerEmpleado","POST","/admin/employees"
"EP-028","RoleController","toggleActivo","PATCH","/admin/roles/{id}/toggle-active"
"EP-029","RoleController","getVistas","GET","/admin/roles/{id}/views"
"EP-030","RoleController","saveVistas","PUT","/admin/roles/{id}/views"
"EP-031","RoleController","deleteRole","DELETE","/admin/roles/{id}"
"EP-032","RoleController","updateRole","PUT","/admin/roles/{id}"
"EP-033","RoleController","getRolesByCompany","GET","/admin/roles/company"
"EP-034","RoleController","getSystemRoles","GET","/admin/roles/system"
"EP-035","RoleController","getAllRoles","GET","/admin/roles"
"EP-036","RoleController","createRole","POST","/admin/roles"
"EP-037","EspecialidadController","delete","DELETE","/admin/specialties/{id}"
"EP-038","EspecialidadController","update","PUT","/admin/specialties/{id}"
"EP-039","EspecialidadController","getAll","GET","/admin/specialties"
"EP-040","EspecialidadController","create","POST","/admin/specialties"
"EP-041","UsuarioController","resetPassword","POST","/admin/users/reset-password"
